Episode,TotalReward,SquaresRevealed,Epsilon,WinRatio
1,-0.05263157894736836,90,1.0,0.0
2,-0.05263157894736836,90,1.0,0.0
3,-0.021052631578947212,93,1.0,0.0
4,-0.03157894736842104,92,1.0,0.0
5,-0.9473684210526316,5,1.0,0.0
6,-0.03157894736842093,92,1.0,0.0
7,-0.08421052631578951,87,1.0,0.0
8,-0.021052631578947323,93,0.9998,0.0
9,-0.042105263157894646,91,0.9994000000000001,0.0
10,-0.03157894736842093,92,0.9989000000000001,0.0
11,-0.03157894736842093,92,0.9984000000000002,0.0
12,-0.05263157894736825,90,0.9977000000000003,0.0
13,-0.021052631578947323,93,0.9975000000000003,0.0
14,-0.021052631578947323,93,0.9973000000000003,0.0
15,-0.010526315789473717,94,0.9971000000000003,0.0
16,3.0,95,0.9966000000000004,0.0625
17,-0.042105263157894646,91,0.9962000000000004,0.058823529411764705
18,-0.05263157894736836,90,0.9959000000000005,0.05555555555555555
19,-0.03157894736842104,92,0.9957000000000005,0.05263157894736842
20,-0.231578947368421,73,0.9954000000000005,0.05
21,-0.021052631578947212,93,0.9945000000000006,0.047619047619047616
22,-0.9894736842105263,1,0.9943000000000006,0.045454545454545456
23,-0.042105263157894646,91,0.9938000000000007,0.043478260869565216
24,-0.021052631578947323,93,0.9936000000000007,0.041666666666666664
25,-0.03157894736842104,92,0.9933000000000007,0.04
26,-0.09473684210526312,86,0.9930000000000008,0.038461538461538464
27,-0.010526315789473717,94,0.9927000000000008,0.037037037037037035
28,-0.052631578947368474,90,0.9925000000000008,0.03571428571428571
29,-0.03157894736842104,92,0.9923000000000008,0.034482758620689655
30,3.0,95,0.9917000000000009,0.06666666666666667
31,-0.0842105263157894,87,0.991300000000001,0.06451612903225806
32,-0.27368421052631575,69,0.991000000000001,0.0625
33,-0.021052631578947434,93,0.990700000000001,0.06060606060606061
34,-0.03157894736842104,92,0.990500000000001,0.058823529411764705
35,-0.04210526315789476,91,0.9903000000000011,0.05714285714285714
36,-0.010526315789473606,94,0.9900000000000011,0.05555555555555555
37,-0.0736842105263158,88,0.9898000000000011,0.05405405405405406
38,-0.010526315789473717,94,0.9894000000000012,0.05263157894736842
39,-0.010526315789473717,94,0.9892000000000012,0.05128205128205128
40,-0.1578947368421053,80,0.9890000000000012,0.05
41,-0.021052631578947434,93,0.9886000000000013,0.04878048780487805
42,-0.021052631578947323,93,0.9882000000000013,0.047619047619047616
43,-0.052631578947368474,90,0.9880000000000013,0.046511627906976744
44,-0.021052631578947323,93,0.9878000000000013,0.045454545454545456
45,-0.03157894736842104,92,0.9874000000000014,0.044444444444444446
46,-0.021052631578947323,93,0.9871000000000014,0.043478260869565216
47,-0.03157894736842104,92,0.9867000000000015,0.0425531914893617
48,-0.03157894736842104,92,0.9865000000000015,0.041666666666666664
49,-0.010526315789473717,94,0.9861000000000015,0.04081632653061224
50,-0.021052631578947323,93,0.9859000000000016,0.04
51,-0.042105263157894646,91,0.9850000000000017,0.0392156862745098
52,-0.04210526315789476,91,0.9847000000000017,0.038461538461538464
53,-0.0842105263157894,87,0.9842000000000017,0.03773584905660377
54,-0.17894736842105252,78,0.9838000000000018,0.037037037037037035
55,-0.09473684210526312,86,0.9835000000000018,0.03636363636363636
56,-0.010526315789473717,94,0.9829000000000019,0.03571428571428571
57,-0.03157894736842093,92,0.982300000000002,0.03508771929824561
58,-0.06315789473684208,89,0.982100000000002,0.034482758620689655
59,-0.08421052631578951,87,0.981900000000002,0.03389830508474576
60,-0.9894736842105263,1,0.981700000000002,0.03333333333333333
61,-0.03157894736842104,92,0.981500000000002,0.03278688524590164
62,-0.010526315789473606,94,0.9808000000000021,0.03225806451612903
63,-0.021052631578947323,93,0.9806000000000021,0.031746031746031744
64,-0.05263157894736836,90,0.9803000000000022,0.03125
65,-0.19999999999999996,76,0.9800000000000022,0.03076923076923077
66,-0.17894736842105263,78,0.9797000000000022,0.030303030303030304
67,3.0,95,0.9795000000000023,0.04477611940298507
68,-0.021052631578947323,93,0.9793000000000023,0.04411764705882353
69,-0.04210526315789476,91,0.9791000000000023,0.043478260869565216
70,-0.010526315789473717,94,0.9789000000000023,0.04285714285714286
71,-0.08421052631578951,87,0.9787000000000023,0.04225352112676056
72,-0.03157894736842104,92,0.9785000000000024,0.041666666666666664
73,-0.021052631578947434,93,0.9781000000000024,0.0410958904109589
74,-0.06315789473684197,89,0.9776000000000025,0.04054054054054054
75,-0.05263157894736836,90,0.9773000000000025,0.04
76,2.9999999999999996,95,0.9771000000000025,0.05263157894736842
77,-0.06315789473684208,89,0.9769000000000025,0.05194805194805195
78,-0.010526315789473606,94,0.9766000000000026,0.05128205128205128
79,3.0,95,0.9764000000000026,0.06329113924050633
80,-0.03157894736842104,92,0.9761000000000026,0.0625
81,-0.04210526315789476,91,0.9759000000000027,0.06172839506172839
82,-0.021052631578947323,93,0.9757000000000027,0.06097560975609756
83,-0.010526315789473717,94,0.9755000000000027,0.060240963855421686
84,-0.010526315789473717,94,0.9753000000000027,0.05952380952380952
85,-0.05263157894736836,90,0.9750000000000028,0.058823529411764705
86,-0.021052631578947323,93,0.9747000000000028,0.05813953488372093
87,-0.04210526315789476,91,0.9744000000000028,0.05747126436781609
88,3.0,95,0.9742000000000028,0.06818181818181818
89,-0.010526315789473606,94,0.9738000000000029,0.06741573033707865
90,-0.021052631578947323,93,0.9736000000000029,0.06666666666666667
91,-0.03157894736842115,92,0.973200000000003,0.06593406593406594
92,-0.052631578947368474,90,0.973000000000003,0.06521739130434782
93,-0.021052631578947434,93,0.972600000000003,0.06451612903225806
94,-0.010526315789473606,94,0.972300000000003,0.06382978723404255
95,-0.010526315789473717,94,0.9721000000000031,0.06315789473684211
96,-0.06315789473684208,89,0.9719000000000031,0.0625
97,-0.010526315789473606,94,0.9716000000000031,0.061855670103092786
98,-0.021052631578947323,93,0.9713000000000032,0.061224489795918366
99,-0.03157894736842104,92,0.9710000000000032,0.06060606060606061
100,-0.010526315789473717,94,0.9708000000000032,0.06
101,-0.05263157894736836,90,0.9701000000000033,0.0594059405940594
102,-0.0736842105263158,88,0.9698000000000033,0.058823529411764705
103,-0.052631578947368474,90,0.9696000000000033,0.05825242718446602
104,-0.05263157894736836,90,0.9693000000000034,0.057692307692307696
105,-0.03157894736842104,92,0.9690000000000034,0.05714285714285714
106,-0.08421052631578951,87,0.9688000000000034,0.05660377358490566
107,-0.021052631578947434,93,0.9684000000000035,0.056074766355140186
108,-0.010526315789473606,94,0.9678000000000035,0.05555555555555555
